"Counter","ICD-10 Activity category","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map 1=Add 2=Del","Aust update","ICD-10-AM code descriptor"
1,"Act=0",,"While engaged in sports activity","U71",,"Unspecified sport and exercise activity"
2,"Act=0",,"While engaged in sports activity","U70.8",,"Other specified sport and exercise activity"
3,"Act=0",,"While engaged in sports activity","U70.0",,"Athletic activities involving fitness equipment, not elsewhere classified"
4,"Act=0",,"While engaged in sports activity","U50.9",,"Unspecified team ball sport"
5,"Act=0",,"While engaged in sports activity","U50.8",,"Other specified team ball sport"
6,"Act=0",,"While engaged in sports activity","U50.09",,"Football, unspecified"
7,"Act=0",,"While engaged in sports activity","U50.08",,"Other specified football"
8,"Act=0",,"While engaged in sports activity","U50.00",,"Australian Rules"
9,"Act=0",,"While engaged in sports activity","U50.01",,"Rugby Union"
10,"Act=0",,"While engaged in sports activity","U50.02",,"Rugby League"
11,"Act=0",,"While engaged in sports activity","U50.03",,"Rugby, unspecified"
12,"Act=0",,"While engaged in sports activity","U50.04",,"Soccer"
13,"Act=0",,"While engaged in sports activity","U50.05",,"Touch football"
14,"Act=0",,"While engaged in sports activity","U50.1",,"Basketball"
15,"Act=0",,"While engaged in sports activity","U50.2",,"Handball, team"
16,"Act=0",,"While engaged in sports activity","U50.39",,"Netball, other and unspecified"
17,"Act=0",,"While engaged in sports activity","U50.30",,"Netball, indoor"
18,"Act=0",,"While engaged in sports activity","U50.4",,"Korfball"
19,"Act=0",,"While engaged in sports activity","U50.5",,"Volleyball"
20,"Act=0",,"While engaged in sports activity","U51.9",,"Unspecified team bat or stick sport"
21,"Act=0",,"While engaged in sports activity","U51.8",,"Other specified team bat or stick sport"
22,"Act=0",,"While engaged in sports activity","U51.0",,"Baseball"
23,"Act=0",,"While engaged in sports activity","U51.1",,"Cricket"
24,"Act=0",,"While engaged in sports activity","U51.29",,"Hockey, unspecified"
25,"Act=0",,"While engaged in sports activity","U51.28",,"Other specified hockey"
26,"Act=0",,"While engaged in sports activity","U51.20",,"Hockey, ice"
27,"Act=0",,"While engaged in sports activity","U51.21",,"Hockey, street and ball"
28,"Act=0",,"While engaged in sports activity","U51.22",,"Hockey, field"
29,"Act=0",,"While engaged in sports activity","U51.23",,"Hockey, floor"
30,"Act=0",,"While engaged in sports activity","U51.3",,"Softball"
31,"Act=0",,"While engaged in sports activity","U51.4",,"T-ball"
32,"Act=0",,"While engaged in sports activity","U52.9",,"Unspecified team water sport"
33,"Act=0",,"While engaged in sports activity","U52.8",,"Other specified team water sport"
34,"Act=0",,"While engaged in sports activity","U52.0",,"Synchronised swimming"
35,"Act=0",,"While engaged in sports activity","U52.1",,"Water polo"
36,"Act=0",,"While engaged in sports activity","U53.9",,"Unspecified boating sport"
37,"Act=0",,"While engaged in sports activity","U53.8",,"Other specified boating sport"
38,"Act=0",,"While engaged in sports activity","U53.0",,"Canoeing"
39,"Act=0",,"While engaged in sports activity","U53.1",,"Jet skiing"
40,"Act=0",,"While engaged in sports activity","U53.2",,"Kayaking"
41,"Act=0",,"While engaged in sports activity","U53.3",,"Power boat racing"
42,"Act=0",,"While engaged in sports activity","U53.4",,"Rowing and sculling"
43,"Act=0",,"While engaged in sports activity","U53.5",,"Surf boating"
44,"Act=0",,"While engaged in sports activity","U53.6",,"Yachting and sailing"
45,"Act=0",,"While engaged in sports activity","U53.7",,"Surf skiing"
46,"Act=0",,"While engaged in sports activity","U54.9",,"Unspecified individual water sport"
47,"Act=0",,"While engaged in sports activity","U54.8",,"Other specified individual water sport"
48,"Act=0",,"While engaged in sports activity","U54.09",,"Diving, unspecified"
49,"Act=0",,"While engaged in sports activity","U54.08",,"Other specified diving"
50,"Act=0",,"While engaged in sports activity","U54.00",,"Diving, cliff"
51,"Act=0",,"While engaged in sports activity","U54.01",,"Diving, springboard"
52,"Act=0",,"While engaged in sports activity","U54.02",,"Diving, platform"
53,"Act=0",,"While engaged in sports activity","U54.19",,"Fishing, unspecified"
