"Counter","ICD-10 Place of occurence category","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","ICD-10-AM code descriptor"
1,"Place=0",,"Home","Y92.09",,"Place of occurrence, other and unspecified place in home"
2,"Place=0",,"Home","Y92.00",,"Place of occurrence, driveway to home"
3,"Place=0",,"Home","Y92.01",,"Place of occurrence, outdoor areas"
4,"Place=0",,"Home","Y92.02",,"Place of occurrence, garage"
5,"Place=0",,"Home","Y92.03",,"Place of occurrence, bathroom"
6,"Place=0",,"Home","Y92.04",,"Place of occurrence, kitchen"
7,"Place=0",,"Home","Y92.05",,"Place of occurrence, bedroom"
8,"Place=0",,"Home","Y92.06",,"Place of occurrence, laundry"
9,"Place=0",,"Home","Y92.07",,"Place of occurrence, indoor living areas, not elsewhere classified"
10,"Place=0",,"Home","Y92.89",,"Place of occurrence, communal living area"
11,"Place=1",,"Residential institution","Y92.19",,"Place of occurrence, unspecified residential institution "
12,"Place=1",,"Residential institution","Y92.18",,"Place of occurrence, other specified residential institution"
13,"Place=1",,"Residential institution","Y92.10",,"Place of occurrence, residential institution, prison"
14,"Place=1",,"Residential institution","Y92.11",,"Place of occurrence, residential institution, juvenile detention centre"
15,"Place=1",,"Residential institution","Y92.12",,"Place of occurrence, residential institution, military camp"
16,"Place=1",,"Residential institution","Y92.13",,"Place of occurrence, residential institution, orphanage"
17,"Place=1",,"Residential institution","Y92.14",,"Place of occurrence, residential institution, aged care facilities"
18,"Place=2",,"School, other institution and public administrative area","Y92.29",,"Place of occurrence, other specified institution and public administrative area"
19,"Place=2",,"School, other institution and public administrative area","Y92.21",,"Place of occurrence, school"
20,"Place=2",,"School, other institution and public administrative area","Y92.23","1","Place of occurrence, health service area, not specified as this facility"
21,"Place=2",,"School, other institution and public administrative area","Y92.24","1","Place of occurrence, health service area, this facility"
22,"Place=3",,"Sports and athletics area","Y92.39",,"Place of occurrence, sports and athletics area, unspecified"
23,"Place=3",,"Sports and athletics area","Y92.38",,"Place of occurrence, other specified sports and athletics area"
24,"Place=3",,"Sports and athletics area","Y92.30",,"Place of occurrence, sports and athletics area, sporting grounds (outdoor)"
25,"Place=3",,"Sports and athletics area","Y92.31",,"Place of occurrence, sports and athletics area, sporting hall (indoor)"
26,"Place=3",,"Sports and athletics area","Y92.32",,"Place of occurrence, sports and athletics area, swimming centre"
27,"Place=3",,"Sports and athletics area","Y92.33",,"Place of occurrence, sports and athletics area, racetrack and racecourse"
28,"Place=3",,"Sports and athletics area","Y92.34",,"Place of occurrence, sports and athletics area, equestrian facility"
29,"Place=3",,"Sports and athletics area","Y92.35",,"Place of occurrence, sports and athletics area, skating rink"
30,"Place=3",,"Sports and athletics area","Y92.36",,"Place of occurrence, sports and athletics area, skiing"
31,"Place=4",,"Street and highway","Y92.49",,"Place of occurrence, unspecified public highway, street or road"
32,"Place=4",,"Street and highway","Y92.48",,"Place of occurrence, other specified public highway, street or road"
33,"Place=4",,"Street and highway","Y92.41",,"Place of occurrence, street and highway, sidewalk"
34,"Place=4",,"Street and highway","Y92.42",,"Place of occurrence, street and highway, cycleway"
35,"Place=5",,"Trade and service area","Y92.59",,"Place of occurrence, unspecified trade and service area"
36,"Place=5",,"Trade and service area","Y92.58",,"Place of occurrence, other specified trade and service area"
37,"Place=5",,"Trade and service area","Y92.50",,"Place of occurrence, trade and service area, shop and store"
38,"Place=5",,"Trade and service area","Y92.51",,"Place of occurrence, trade and service area, commercial garage"
39,"Place=5",,"Trade and service area","Y92.52",,"Place of occurrence, trade and service area, office building"
40,"Place=5",,"Trade and service area","Y92.53",,"Place of occurrence, trade and service area, café, hotel and restaurant"
41,"Place=6",,"Industrial and construction area","Y92.69",,"Place of occurrence, unspecified industrial and construction area"
42,"Place=6",,"Industrial and construction area","Y92.68",,"Place of occurrence, other specified industrial and construction area"
43,"Place=6",,"Industrial and construction area","Y92.60",,"Place of occurrence, industrial and construction area, construction area"
44,"Place=6",,"Industrial and construction area","Y92.61",,"Place of occurrence, industrial and construction area, demolition site"
45,"Place=6",,"Industrial and construction area","Y92.62",,"Place of occurrence, industrial and construction area, factory and plant"
46,"Place=6",,"Industrial and construction area","Y92.63",,"Place of occurrence, industrial and construction area, mine and quarry"
47,"Place=6",,"Industrial and construction area","Y92.64",,"Place of occurrence, industrial and construction area, oil and gas extraction"
48,"Place=6",,"Industrial and construction area","Y92.65",,"Place of occurrence, industrial and construction area, shipyard"
49,"Place=6",,"Industrial and construction area","Y92.66",,"Place of occurrence, industrial and construction area, power station"
50,"Place=7",,"Farm","Y92.7",,"Place of occurrence, farm"
51,"Place=8",,"Other specified places","Y92.88",,"Other specified place of occurrence"
52,"Place=8",,"Other specified places","Y92.80",,"Other specified place of occurrence, area of still water"
53,"Place=8",,"Other specified places","Y92.81",,"Other specified place of occurrence, stream of water"
54,"Place=8",,"Other specified places","Y92.82",,"Other specified place of occurrence, large area of water"
55,"Place=8",,"Other specified places","Y92.83",,"Other specified place of occurrence, beach"
56,"Place=8",,"Other specified places","Y92.84",,"Other specified place of occurrence, forest"
57,"Place=8",,"Other specified places","Y92.85",,"Other specified place of occurrence, desert"
58,"Place=8",,"Other specified places","Y92.86",,"Other specified place of occurrence, other specified countryside"
59,"Place=8",,"Other specified places","Y92.87",,"Other specified place of occurrence, parking lot"
60,"Place=9",,"Unspecified place","Y92.9",,"Unspecified place of occurrence"
