"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
1,"X30",,"Exposure to excessive natural heat","X30",,,"Exposure to excessive natural heat"
2,"X31",,"Exposure to excessive natural cold","X31",,,"Exposure to excessive natural cold"
3,"X32",,"Exposure to sunlight","X32",,,"Exposure to sunlight"
4,"X33",,"Victim of lightning","X33",,,"Victim of lightning"
5,"X34.0",,"Victim of cataclysmic earth movements caused by earthquake","X34.0",,,"Victim of cataclysmic earth movements caused by earthquake"
6,"X34.1",,"Victim of tsunami","X34.1",,,"Victim of tsunami"
7,"X34.8",,"Victim of other specified effects of earthquake","X34.8",,,"Victim of other specified effects of earthquake"
8,"X34.9",,"Victim of unspecified effect of earthquake","X34.9",,,"Victim of unspecified effect of earthquake"
9,"X35",,"Victim of volcanic eruption","X35",,,"Victim of volcanic eruption"
10,"X36",,"Victim of avalanche, landslide and other earth movements","X36",,,"Victim of avalanche, landslide and other earth movements"
11,"X37",,"Victim of cataclysmic storm","X37",,,"Victim of cataclysmic storm"
12,"X38",,"Victim of flood","X38",,,"Victim of flood"
13,"X39",,"Exposure to other and unspecified forces of nature","X39",,,"Exposure to other and unspecified forces of nature"
14,"X40",,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","X40",,,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
15,"X41",,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",,,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
16,"X42",,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",,,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
17,"X43",,"Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system","X43",,,"Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system"
18,"X44",,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",,,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
19,"X45",,"Accidental poisoning by and exposure to alcohol","X45",,,"Accidental poisoning by and exposure to alcohol"
20,"X46",,"Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours","X46",,,"Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"
21,"X47.0","1","Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust","X47.0",,,"Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust"
22,"X47.1","1","Accidental poisoning by and exposure to carbon monoxide from utility gas ","X47.1",,,"Accidental poisoning by and exposure to carbon monoxide from utility gas "
23,"X47.2","1","Accidental poisoning by and exposure to carbon monoxide from other domestic fuels ","X47.2",,,"Accidental poisoning by and exposure to carbon monoxide from other domestic fuels "
24,"X47.3","1","Accidental poisoning by and exposure to carbon monoxide from other sources ","X47.3","1",,"Accidental poisoning by and exposure to carbon monoxide from other sources"
25,"X47.4","1","Accidental poisoning by carbon monoxide from unspecified sources ","X47.4","1",,"Accidental poisoning by carbon monoxide from unspecified sources"
26,"X47.8","1","Accidental poisoning by other specified gases and vapours","X47.8",,,"Accidental poisoning by and exposure to other specified gases and vapours"
27,"X47.9","1","Accidental poisoning by unspecified gases and vapours","X47.9",,,"Accidental poisoning by and exposure to unspecified gases and vapours"
28,"X48",,"Accidental poisoning by and exposure to pesticides","X48",,,"Accidental poisoning by and exposure to pesticides"
29,"X49",," Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances","X49",,,"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances"
30,"X50",,"Overexertion and strenuous or repetitive movements","X50",,,"Overexertion and strenuous or repetitive movements"
31,"X51",,"Travel and motion","X51",,,"Travel and motion"
32,"X52",,"Prolonged stay in weightless environment","X52",,,"Prolonged stay in weightless environment"
33,"X53",,"Lack of food","X53",,,"Lack of food"
34,"X54",,"Lack of water","X54",,,"Lack of water"
35,"X57",,"Unspecified privation","X57",,,"Unspecified privation"
36,"X58",,"Exposure to other specified factors","X58",,,"Exposure to other specified factors"
37,"X59",,"Exposure to unspecified factor","X59",,,"Exposure to unspecified factor"
38,"X60",,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","X60",,,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
39,"X61",,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",,,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
40,"X62",,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",,,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
41,"X63",,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system","X63",,,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"
42,"X64",,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",,,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
43,"X65",,"Intentional self-poisoning by and exposure to alcohol","X65",,,"Intentional self-poisoning by and exposure to alcohol"
44,"X66",,"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours","X66",,,"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"
45,"X67.0","1","Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust","X67.0",,,"Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust"
46,"X67.1","1","Intentional self-poisoning by and exposure to carbon monoxide from utility gas ","X67.1",,,"Intentional self-poisoning by and exposure to carbon monoxide from utility gas "
47,"X67.2","1","Intentional self-poisoning by exposure to carbon monoxide from other domestic fuels","X67.2",,,"Intentional self-poisoning by exposure to carbon monoxide from other domestic fuels"
48,"X67.3","1","Intentional self-poisoning by exposure to carbon monoxide from other sources","X67.3","1",,"Intentional self-poisoning by exposure to carbon monoxide from other sources"
49,"X67.4","1","Intentional self-poisoning by carbon monoxide from unspecified sources","X67.4","1",,"Intentional self-poisoning by exposure to carbon monoxide from unspecified sources"
50,"X67.8","1","Intentional self-poisoning by other specified gases and vapours","X67.8",,,"Intentional self-poisoning by and exposure to other specified gases or vapours"
51,"X67.9","1","Intentional self-poisoning by unspecified gases and vapours","X67.9",,,"Intentional self-poisoning by and exposure to unspecified gases or vapours"
52,"X68",,"Intentional self-poisoning by and exposure to pesticides","X68",,,"Intentional self-poisoning by and exposure to pesticides"
53,"X69",,"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances","X69",,,"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"
54,"X70",,"Intentional self-harm by hanging, strangulation and suffocation","X70.0",,,"Intentional self-harm by hanging"
55,"X70",,"Intentional self-harm by hanging, strangulation and suffocation","X70.1",,,"Intentional self-harm by strangulation"
56,"X70",,"Intentional self-harm by hanging, strangulation and suffocation","X70.2",,,"Intentional self-harm by suffocation"
57,"X71",,"Intentional self-harm by drowning and submersion","X71.9",,,"Intentional self-harm by drowning and submersion in unspecified water"
58,"X71",,"Intentional self-harm by drowning and submersion","X71.8",,,"Intentional self-harm by drowning and submersion in other specified water"
59,"X71",,"Intentional self-harm by drowning and submersion","X71.0",,,"Intentional self-harm by drowning and submersion in bath-tub"
60,"X71",,"Intentional self-harm by drowning and submersion","X71.1",,,"Intentional self-harm by drowning and submersion in swimming pool"
61,"X71",,"Intentional self-harm by drowning and submersion","X71.2",,,"Intentional self-harm by drowning and submersion in natural water"
62,"X72",,"Intentional self-harm by handgun discharge","X72",,,"Intentional self-harm by handgun discharge"
63,"X73",,"Intentional self-harm by rifle, shotgun and larger firearm discharge","X74.9",,,"Intentional self-harm by other and unspecified firearm discharge"
64,"X73",,"Intentional self-harm by rifle, shotgun and larger firearm discharge","X74.1",,,"Intentional self-harm by air rifle discharge"
65,"X73",,"Intentional self-harm by rifle, shotgun and larger firearm discharge","X74.2",,,"Intentional self-harm by shotgun discharge"
66,"X73",,"Intentional self-harm by rifle, shotgun and larger firearm discharge","X74.3",,,"Intentional self-harm by small calibre rifle discharge"
67,"X73",,"Intentional self-harm by rifle, shotgun and larger firearm discharge","X74.4",,,"Intentional self-harm by large calibre rifle discharge"
68,"X74",,"Intentional self-harm by other and unspecified firearm discharge","X74.9",,,"Intentional self-harm by other and unspecified firearm discharge"
69,"X74",,"Intentional self-harm by other and unspecified firearm discharge","X74.1",,,"Intentional self-harm by air rifle discharge"
70,"X74",,"Intentional self-harm by other and unspecified firearm discharge","X74.2",,,"Intentional self-harm by shotgun discharge"
71,"X74",,"Intentional self-harm by other and unspecified firearm discharge","X74.3",,,"Intentional self-harm by small calibre rifle discharge"
72,"X74",,"Intentional self-harm by other and unspecified firearm discharge","X74.4",,,"Intentional self-harm by large calibre rifle discharge"
73,"X75",,"Intentional self-harm by explosive material","X75",,,"Intentional self-harm by explosive material"
74,"X76",,"Intentional self-harm by smoke, fire and flames","X76",,,"Intentional self-harm by smoke, fire and flames"
75,"X77",,"Intentional self-harm by steam, hot vapours and hot objects","X77",,,"Intentional self-harm by steam, hot vapours and hot objects"
76,"X78",,"Intentional self-harm by sharp object","X78.9",,,"Intentional self-harm by sharp object, unspecified"
77,"X78",,"Intentional self-harm by sharp object","X78.8",,,"Intentional self-harm by other specified sharp object"
78,"X78",,"Intentional self-harm by sharp object","X78.0",,,"Intentional self-harm by knife"
79,"X78",,"Intentional self-harm by sharp object","X78.1",,,"Intentional self-harm by razor blade"
80,"X78",,"Intentional self-harm by sharp object","X78.2",,,"Intentional self-harm by hypodermic needle and syringe"
81,"X78",,"Intentional self-harm by sharp object","X78.3",,,"Intentional self-harm by glass"
82,"X79",,"Intentional self-harm by blunt object","X79",,,"Intentional self-harm by blunt object"
83,"X80",,"Intentional self-harm by jumping from a high place","X80",,,"Intentional self-harm by jumping from a high place"
