"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
1,"Y00",,"Assault by blunt object","Y00.09",,,"Assault by blunt object, unspecified person"
2,"Y00",,"Assault by blunt object","Y00.08",,,"Assault by blunt object, other specified person"
3,"Y00",,"Assault by blunt object","Y00.00",,,"Assault by blunt object, spouse or domestic partner"
4,"Y00",,"Assault by blunt object","Y00.01",,,"Assault by blunt object, parent"
5,"Y00",,"Assault by blunt object","Y00.02",,,"Assault by blunt object, other family member"
6,"Y00",,"Assault by blunt object","Y00.03",,,"Assault by blunt object, carer"
7,"Y00",,"Assault by blunt object","Y00.04",,,"Assault by blunt object, acquaintance or friend"
8,"Y00",,"Assault by blunt object","Y00.05",,,"Assault by blunt object, official authorities"
9,"Y00",,"Assault by blunt object","Y00.06",,,"Assault by blunt object, person unknown to the victim"
10,"Y00",,"Assault by blunt object","Y00.07",,,"Assault by blunt object, multiple persons unknown to the victim"
11,"Y01",,"Assault by pushing from high place","Y01.09",,,"Assault by pushing from high place, unspecified person"
12,"Y01",,"Assault by pushing from high place","Y01.08",,,"Assault by pushing from high place, other specified person"
13,"Y01",,"Assault by pushing from high place","Y01.00",,,"Assault by pushing from high place, spouse or domestic partner"
14,"Y01",,"Assault by pushing from high place","Y01.01",,,"Assault by pushing from high place, parent"
15,"Y01",,"Assault by pushing from high place","Y01.02",,,"Assault by pushing from high place, other family member"
16,"Y01",,"Assault by pushing from high place","Y01.03",,,"Assault by pushing from high place, carer"
17,"Y01",,"Assault by pushing from high place","Y01.04",,,"Assault by pushing from high place, acquaintance or friend"
18,"Y01",,"Assault by pushing from high place","Y01.05",,,"Assault by pushing from high place, official authorities"
19,"Y01",,"Assault by pushing from high place","Y01.06",,,"Assault by pushing from high place, person unknown to the victim"
20,"Y01",,"Assault by pushing from high place","Y01.07",,,"Assault by pushing from high place, multiple persons unknown to the victim"
21,"Y02",,"Assault by pushing or placing victim before moving object","Y02.99",,,"Assault by pushing or placing victim before unpecified moving object, unspecified person"
22,"Y02",,"Assault by pushing or placing victim before moving object","Y02.98",,,"Assault by pushing or placing victim before unspecified moving object, other specified person"
23,"Y02",,"Assault by pushing or placing victim before moving object","Y02.90",,,"Assault by pushing or placing victim before unspecified moving object, spouse or domestic partner"
24,"Y02",,"Assault by pushing or placing victim before moving object","Y02.91",,,"Assault by pushing or placing victim before unspecified moving object, parent"
25,"Y02",,"Assault by pushing or placing victim before moving object","Y02.92",,,"Assault by pushing or placing victim before unspecified moving object, other family member"
26,"Y02",,"Assault by pushing or placing victim before moving object","Y02.93",,,"Assault by pushing or placing victim before unspecified moving object, carer"
27,"Y02",,"Assault by pushing or placing victim before moving object","Y02.94",,,"Assault by pushing or placing victim before unspecified moving object, acquaintance or friend"
28,"Y02",,"Assault by pushing or placing victim before moving object","Y02.95",,,"Assault by pushing or placing victim before unspecified moving object, official authorities"
29,"Y02",,"Assault by pushing or placing victim before moving object","Y02.96",,,"Assault by pushing or placing victim before unspecified moving object, person unknown to the victim"
30,"Y02",,"Assault by pushing or placing victim before moving object","Y02.97",,,"Assault by pushing or placing victim before unspecified moving object, multiple persons unknown to the victim"
31,"Y02",,"Assault by pushing or placing victim before moving object","Y02.89",,,"Assault by pushing or placing victim before other specified moving object, unspecified person"
32,"Y02",,"Assault by pushing or placing victim before moving object","Y02.88",,,"Assault by pushing or placing victim before other specified moving object, other specified person"
33,"Y02",,"Assault by pushing or placing victim before moving object","Y02.80",,,"Assault by pushing or placing victim before other specified moving object, spouse or domestic partner"
34,"Y02",,"Assault by pushing or placing victim before moving object","Y02.81",,,"Assault by pushing or placing victim before other specified moving object, parent"
35,"Y02",,"Assault by pushing or placing victim before moving object","Y02.82",,,"Assault by pushing or placing victim before other specified moving object, other family member"
36,"Y02",,"Assault by pushing or placing victim before moving object","Y02.83",,,"Assault by pushing or placing victim before other specifiedmoving object, carer"
37,"Y02",,"Assault by pushing or placing victim before moving object","Y02.84",,,"Assault by pushing or placing victim before other specified moving object, acquaintance or friend"
38,"Y02",,"Assault by pushing or placing victim before moving object","Y02.85",,,"Assault by pushing or placing victim before other specified moving object, official authorities"
39,"Y02",,"Assault by pushing or placing victim before moving object","Y02.86",,,"Assault by pushing or placing victim before other specified moving object, person unknown to the victim"
40,"Y02",,"Assault by pushing or placing victim before moving object","Y02.87",,,"Assault by pushing or placing victim before other specified moving object, multiple persons unknown to the victim"
41,"Y02",,"Assault by pushing or placing victim before moving object","Y02.19",,,"Assault by pushing or placing victim before a train, unspecified person"
