"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
A04.71,2017,A04.7
A04.72,2017,A04.7
A92.5,2016,A92.8
C43.111,2018,C43.11
C43.112,2018,C43.11
C43.121,2018,C43.12
C43.122,2018,C43.12
C4A.111,2018,C4A.11
C4A.112,2018,C4A.11
C4A.121,2018,C4A.12
C4A.122,2018,C4A.12
C44.1021,2018,C44.102
C44.1022,2018,C44.102
C44.1091,2018,C44.109
C44.1092,2018,C44.109
C44.1121  ,2018,C44.112
C44.1122,2018,C44.112
C44.1191  ,2018,C44.119
C44.1192,2018,C44.119
C44.1221,2018,C44.122
C44.1222 ,2018,C44.122
C44.1291,2018,C44.129
C44.1292,2018,C44.129
C44.131,2018,C44.19
C44.1321,2018,C44.19
C44.1322,2018,C44.19
C44.1391,2018,C44.19
C44.1392,2018,C44.19
C44.1921,2018,C44.192
C44.1922,2018,C44.192
C44.1991,2018,C44.199
C44.1992,2018,C44.199
C49.A0,2016,C49.4
C49.A1,2016,C16.0
C49.A2,2016,C16.9
C49.A3,2016,C49.4
C49.A4,2016,C49.4
C49.A5,2016,C49.4
C49.A9,2016,C49.6
C96.20,2017,C96.2
C96.21,2017,C96.2
C96.22,2017,C96.2
C96.29,2017,C96.2
D03.111,2018,D03.11
D03.112,2018,D03.11
D03.121,2018,D03.12
D03.122,2018,D03.12
D04.111,2018,D04.11
D04.112,2018,D04.11
D04.121,2018,D04.12
D04.122,2018,D04.12
D22.111,2018,D22.11
D22.112,2018,D22.11
D22.121,2018,D22.12
D22.122,2018,D22.12
D23.111,2018,D23.11
D23.112,2018,D23.11
D23.121,2018,D23.12
D23.122,2018,D23.12
D47.01,2017,D47.0
D47.02,2017,D47.0
D47.09,2017,D47.0
D47.Z2,2016,D47.9
D49.511,2016,D49.5
D49.512,2016,D49.5
D49.519,2016,D49.5
D49.59,2016,D49.5
D75.A,2019,D55.0
D78.31,2016,D78.21
D78.32,2016,D78.22
D78.33,2016,D78.21
D78.34,2016,D78.22
D81.30,2019,D81.3
D81.31,2019,D81.3
D81.32,2019,D81.3
D81.39,2019,D81.3
D89.40,2016,D89.89
D89.41,2016,D89.89
D89.42,2016,D89.89
D89.43,2016,D89.89
D89.49,2016,D89.89
E08.3211,2016,E08.321
E08.3212,2016,E08.321
E08.3213,2016,E08.321
E08.3219,2016,E08.321
E08.3291,2016,E08.329
E08.3292,2016,E08.329
E08.3293,2016,E08.329
E08.3299,2016,E08.329
E08.3311,2016,E08.331
E08.3312,2016,E08.331
E08.3313,2016,E08.331
E08.3319,2016,E08.331
E08.3391,2016,E08.339
E08.3392,2016,E08.339
E08.3393,2016,E08.339
E08.3399,2016,E08.339
E08.3411,2016,E08.341
E08.3412,2016,E08.341
E08.3413,2016,E08.341
E08.3419,2016,E08.341
E08.3491,2016,E08.349
E08.3492,2016,E08.349
E08.3493,2016,E08.349
E08.3499,2016,E08.349
E08.3511,2016,E08.351
E08.3512,2016,E08.351
E08.3513,2016,E08.351
E08.3519,2016,E08.351
E08.3521,2016,E08.351
E08.3522,2016,E08.351
E08.3523,2016,E08.351
E08.3529,2016,E08.351
E08.3531,2016,E08.351
E08.3532,2016,E08.351
E08.3533,2016,E08.351
E08.3539,2016,E08.351
E08.3541,2016,E08.351
E08.3542,2016,E08.351
E08.3543,2016,E08.351
E08.3549,2016,E08.351
E08.3551,2016,E08.351
E08.3552,2016,E08.351
E08.3553,2016,E08.351
E08.3559,2016,E08.351
E08.3591,2016,E08.359
E08.3592,2016,E08.359
E08.3593,2016,E08.359
E08.3599,2016,E08.359
E08.37X1,2016,E08.311
E08.37X2,2016,E08.311
E08.37X3,2016,E08.311
E08.37X9,2016,E08.311
E09.3211,2016,E09.321
E09.3212,2016,E09.321
E09.3213,2016,E09.321
E09.3219,2016,E09.321
E09.3291,2016,E09.329
E09.3292,2016,E09.329
E09.3293,2016,E09.329
E09.3299,2016,E09.329
E09.3311,2016,E09.331
E09.3312,2016,E09.331
E09.3313,2016,E09.331
E09.3319,2016,E09.331
E09.3391,2016,E09.339
E09.3392,2016,E09.339
E09.3393,2016,E09.339
E09.3399,2016,E09.339
E09.3411,2016,E09.341
E09.3412,2016,E09.341
E09.3413,2016,E09.341
E09.3419,2016,E09.341
E09.3491,2016,E09.349
E09.3492,2016,E09.349
E09.3493,2016,E09.349
E09.3499,2016,E09.349
E09.3511,2016,E09.351
E09.3512,2016,E09.351
E09.3513,2016,E09.351
E09.3519,2016,E09.351
E09.3521,2016,E09.351
E09.3522,2016,E09.351
E09.3523,2016,E09.351
E09.3529,2016,E09.351
E09.3531,2016,E09.351
E09.3532,2016,E09.351
E09.3533,2016,E09.351
E09.3539,2016,E09.351
E09.3541,2016,E09.351
E09.3542,2016,E09.351
E09.3543,2016,E09.351
E09.3549,2016,E09.351
E09.3551,2016,E09.351
E09.3552,2016,E09.351
E09.3553,2016,E09.351
E09.3559,2016,E09.351
E09.3591,2016,E09.359
E09.3592,2016,E09.359
E09.3593,2016,E09.359
E09.3599,2016,E09.359
E09.37X1,2016,E09.311
E09.37X2,2016,E09.311
E09.37X3,2016,E09.311
E09.37X9,2016,E09.311
E10.3211,2016,E10.321
E10.3212,2016,E10.321
E10.3213,2016,E10.321
E10.3219,2016,E10.321
E10.3291,2016,E10.329
E10.3292,2016,E10.329
E10.3293,2016,E10.329
E10.3299,2016,E10.329
E10.3311,2016,E10.331
E10.3312,2016,E10.331
E10.3313,2016,E10.331
E10.3319,2016,E10.331
E10.3391,2016,E10.339
E10.3392,2016,E10.339
E10.3393,2016,E10.339
E10.3399,2016,E10.339
E10.3411,2016,E10.341
E10.3412,2016,E10.341
E10.3413,2016,E10.341
E10.3419,2016,E10.341
E10.3491,2016,E10.349
E10.3492,2016,E10.349
E10.3493,2016,E10.349
E10.3499,2016,E10.349
E10.3511,2016,E10.351
E10.3512,2016,E10.351
E10.3513,2016,E10.351
E10.3519,2016,E10.351
E10.3521,2016,E10.351
E10.3522,2016,E10.351
E10.3523,2016,E10.351
E10.3529,2016,E10.351
E10.3531,2016,E10.351
E10.3532,2016,E10.351
E10.3533,2016,E10.351
E10.3539,2016,E10.351
E10.3541,2016,E10.351
E10.3542,2016,E10.351
E10.3543,2016,E10.351
E10.3549,2016,E10.351
E10.3551,2016,E10.351
E10.3552,2016,E10.351
E10.3553,2016,E10.351
E10.3559,2016,E10.351
E10.3591,2016,E10.359
E10.3592,2016,E10.359
E10.3593,2016,E10.359
E10.3599,2016,E10.359
E10.37X1,2016,E10.311
E10.37X2,2016,E10.311
E10.37X3,2016,E10.311
E10.37X9,2016,E10.311
E11.10,2017,E11.69
E11.11,2017,E11.69 and R40.20
E11.3211,2016,E11.321
E11.3212,2016,E11.321
E11.3213,2016,E11.321
E11.3219,2016,E11.321
E11.3291,2016,E11.329
E11.3292,2016,E11.329
E11.3293,2016,E11.329
E11.3299,2016,E11.329
E11.3311,2016,E11.331
E11.3312,2016,E11.331
E11.3313,2016,E11.331
E11.3319,2016,E11.331
E11.3391,2016,E11.339
E11.3392,2016,E11.339
E11.3393,2016,E11.339
E11.3399,2016,E11.339
E11.3411,2016,E11.341
E11.3412,2016,E11.341
E11.3413,2016,E11.341
E11.3419,2016,E11.341
